"","network","date","value","hour"
"1","Combined",2016-01-01,0.0027,"12:00:00"
"2","Combined",2016-02-01,0.0028,"12:00:00"
"3","Combined",2016-03-01,0.0073,"12:00:00"
"4","Combined",2016-04-01,0.0086,"12:00:00"
"5","Combined",2016-05-01,0.0041,"12:00:00"
"6","Combined",2016-06-01,0.0046,"12:00:00"
"7","Combined",2016-07-01,0.0043,"12:00:00"
"8","Combined",2016-08-01,0.006,"12:00:00"
"9","Combined",2016-09-01,0.0049,"12:00:00"
"10","Combined",2016-10-01,0.0043,"12:00:00"
"11","Combined",2016-11-01,0.0058,"12:00:00"
"12","Combined",2016-12-01,0.0032,"12:00:00"
"13","Combined",2017-01-01,0.0007,"12:00:00"
"14","Combined",2017-02-01,0.0041,"12:00:00"
"15","Combined",2017-03-01,0.0036,"12:00:00"
"16","Combined",2017-04-01,0.0061,"12:00:00"
"17","Combined",2017-05-01,0.0039,"12:00:00"
"18","Combined",2017-06-01,0.0076,"12:00:00"
"19","Combined",2017-07-01,0.0047,"12:00:00"
"20","Combined",2017-08-01,0.0128,"12:00:00"
"21","Combined",2017-09-01,0.0019,"12:00:00"
"22","Combined",2017-10-01,0.0052,"12:00:00"
"23","Combined",2017-11-01,0.004,"12:00:00"
"24","Combined",2017-12-01,0.0005,"12:00:00"
"25","Combined",2018-01-01,0.002,"12:00:00"
"26","Combined",2018-02-01,0.0036,"12:00:00"
"27","Combined",2018-03-01,0.0023,"12:00:00"
"28","Combined",2018-04-01,0.005,"12:00:00"
"29","Combined",2018-05-01,0.0051,"12:00:00"
"30","Combined",2018-06-01,0.0032,"12:00:00"
"31","Combined",2018-07-01,0.0084,"12:00:00"
"32","Combined",2018-08-01,0.0029,"12:00:00"
"33","Combined",2018-09-01,0.0022,"12:00:00"
"34","Combined",2018-10-01,0.0029,"12:00:00"
"35","Combined",2018-11-01,0.0023,"12:00:00"
"36","Combined",2018-12-01,0.0016,"12:00:00"
"37","Combined",2019-01-01,0.0029,"12:00:00"
"38","Combined",2019-02-01,0.0031,"12:00:00"
"39","Combined",2019-03-01,0.0012,"12:00:00"
"40","Combined",2019-04-01,0.0029,"12:00:00"
"41","Combined",2019-05-01,0.0023,"12:00:00"
"42","Combined",2019-06-01,0.0037,"12:00:00"
"43","Combined",2019-07-01,0.0064,"12:00:00"
"44","Combined",2019-08-01,0.0034,"12:00:00"
"45","Combined",2019-09-01,0.0041,"12:00:00"
"46","Combined",2019-10-01,0.0022,"12:00:00"
"47","Combined",2019-11-01,0.004,"12:00:00"
"48","Combined",2019-12-01,0.0038,"12:00:00"
"49","Combined",2020-01-01,0.0071,"12:00:00"
"50","Combined",2020-02-01,0.0113,"12:00:00"
"51","Combined",2020-03-01,0.0176,"12:00:00"
"52","Combined",2020-04-01,0.0353,"12:00:00"
"53","Combined",2020-05-01,0.0212,"12:00:00"
"54","Combined",2020-06-01,0.0272,"12:00:00"
"55","Combined",2020-07-01,0.0227,"12:00:00"
"56","Combined",2020-08-01,0.0059,"12:00:00"
"57","Combined",2020-09-01,0.0081,"12:00:00"
"58","Combined",2020-10-01,0.0018,"12:00:00"
"59","Combined",2020-11-01,0.0034,"12:00:00"
"60","Combined",2020-12-01,0.0026,"12:00:00"
