"","date","hits","keyword","geo","time","gprop","category"
"1",2016-01-03,31,"bats","US","2016-01-01 2020-12-08","web",0
"2",2016-01-10,34,"bats","US","2016-01-01 2020-12-08","web",0
"3",2016-01-17,38,"bats","US","2016-01-01 2020-12-08","web",0
"4",2016-01-24,39,"bats","US","2016-01-01 2020-12-08","web",0
"5",2016-01-31,39,"bats","US","2016-01-01 2020-12-08","web",0
"6",2016-02-07,38,"bats","US","2016-01-01 2020-12-08","web",0
"7",2016-02-14,45,"bats","US","2016-01-01 2020-12-08","web",0
"8",2016-02-21,45,"bats","US","2016-01-01 2020-12-08","web",0
"9",2016-02-28,53,"bats","US","2016-01-01 2020-12-08","web",0
"10",2016-03-06,54,"bats","US","2016-01-01 2020-12-08","web",0
"11",2016-03-13,54,"bats","US","2016-01-01 2020-12-08","web",0
"12",2016-03-20,54,"bats","US","2016-01-01 2020-12-08","web",0
"13",2016-03-27,53,"bats","US","2016-01-01 2020-12-08","web",0
"14",2016-04-03,59,"bats","US","2016-01-01 2020-12-08","web",0
"15",2016-04-10,62,"bats","US","2016-01-01 2020-12-08","web",0
"16",2016-04-17,58,"bats","US","2016-01-01 2020-12-08","web",0
"17",2016-04-24,62,"bats","US","2016-01-01 2020-12-08","web",0
"18",2016-05-01,54,"bats","US","2016-01-01 2020-12-08","web",0
"19",2016-05-08,57,"bats","US","2016-01-01 2020-12-08","web",0
"20",2016-05-15,66,"bats","US","2016-01-01 2020-12-08","web",0
"21",2016-05-22,62,"bats","US","2016-01-01 2020-12-08","web",0
"22",2016-05-29,68,"bats","US","2016-01-01 2020-12-08","web",0
"23",2016-06-05,61,"bats","US","2016-01-01 2020-12-08","web",0
"24",2016-06-12,64,"bats","US","2016-01-01 2020-12-08","web",0
"25",2016-06-19,58,"bats","US","2016-01-01 2020-12-08","web",0
"26",2016-06-26,59,"bats","US","2016-01-01 2020-12-08","web",0
"27",2016-07-03,56,"bats","US","2016-01-01 2020-12-08","web",0
"28",2016-07-10,57,"bats","US","2016-01-01 2020-12-08","web",0
"29",2016-07-17,55,"bats","US","2016-01-01 2020-12-08","web",0
"30",2016-07-24,54,"bats","US","2016-01-01 2020-12-08","web",0
"31",2016-07-31,52,"bats","US","2016-01-01 2020-12-08","web",0
"32",2016-08-07,48,"bats","US","2016-01-01 2020-12-08","web",0
"33",2016-08-14,52,"bats","US","2016-01-01 2020-12-08","web",0
"34",2016-08-21,53,"bats","US","2016-01-01 2020-12-08","web",0
"35",2016-08-28,52,"bats","US","2016-01-01 2020-12-08","web",0
"36",2016-09-04,46,"bats","US","2016-01-01 2020-12-08","web",0
"37",2016-09-11,46,"bats","US","2016-01-01 2020-12-08","web",0
"38",2016-09-18,42,"bats","US","2016-01-01 2020-12-08","web",0
