,keep,subject,related_topics,value,geo,keyword,year,country
1,1,100,top,Microbat,AT,Fledermaus,2016,Austria
2,1,73,top,Die Fledermaus,AT,Fledermaus,2016,Austria
3,1,37,top,Cabaret Fledermaus,AT,Fledermaus,2016,Austria
4,1,6,top,Meat,AT,Fledermaus,2016,Austria
5,1,4,top,Halloween,AT,Fledermaus,2016,Austria
6,1,4,top,Volksoper,AT,Fledermaus,2016,Austria
7,1,4,top,Disco,AT,Fledermaus,2016,Austria
8,1,4,top,Operetta,AT,Fledermaus,2016,Austria
9,1,4,top,Nightclub,AT,Fledermaus,2016,Austria
10,1,4,top,Bad Ischl,AT,Fledermaus,2016,Austria
11,1,4,top,Costume,AT,Fledermaus,2016,Austria
12,1,2,top,Vienna State Opera,AT,Fledermaus,2016,Austria
13,1,2,top,Austrian Mint,AT,Fledermaus,2016,Austria
14,1,2,top,Coin,AT,Fledermaus,2016,Austria
15,1,2,top,Power animal,AT,Fledermaus,2016,Austria
16,1,2,top,Wolfsberg,AT,Fledermaus,2016,Austria
17,1,2,top,Vorlage,AT,Fledermaus,2016,Austria
18,1,2,top,Domestic pig,AT,Fledermaus,2016,Austria
19,0,Breakout,rising,Nightclub,AT,Fledermaus,2016,Austria
20,0,Breakout,rising,Bad Ischl,AT,Fledermaus,2016,Austria
21,0,Breakout,rising,Austrian Mint,AT,Fledermaus,2016,Austria
22,0,Breakout,rising,Coin,AT,Fledermaus,2016,Austria
23,0,Breakout,rising,Power animal,AT,Fledermaus,2016,Austria
24,0,Breakout,rising,Vorlage,AT,Fledermaus,2016,Austria
25,0,+200%,rising,Meat,AT,Fledermaus,2016,Austria
26,0,+110%,rising,Disco,AT,Fledermaus,2016,Austria
27,1,100,top,Microbat,AT,Fledermaus,2017,Austria
28,1,27,top,Cabaret Fledermaus,AT,Fledermaus,2017,Austria
29,1,14,top,Die Fledermaus,AT,Fledermaus,2017,Austria
30,1,5,top,handicraft,AT,Fledermaus,2017,Austria
31,1,3,top,Vampire,AT,Fledermaus,2017,Austria
32,1,3,top,Volksoper,AT,Fledermaus,2017,Austria
33,1,3,top,Halloween,AT,Fledermaus,2017,Austria
34,1,3,top,Makeup,AT,Fledermaus,2017,Austria
35,1,3,top,Operetta,AT,Fledermaus,2017,Austria
36,1,2,top,Nightclub,AT,Fledermaus,2017,Austria
37,1,2,top,Coin,AT,Fledermaus,2017,Austria
38,1,2,top,Johann Strauss II,AT,Fledermaus,2017,Austria
39,1,2,top,Vienna State Opera,AT,Fledermaus,2017,Austria
40,1,2,top,Domestic pig,AT,Fledermaus,2017,Austria
41,1,2,top,Volksgarten,AT,Fledermaus,2017,Austria
42,1,1,top,Tiger,AT,Fledermaus,2017,Austria
43,1,1,top,Ghost,AT,Fledermaus,2017,Austria
44,1,1,top,Animal,AT,Fledermaus,2017,Austria
45,1,1,top,Costume,AT,Fledermaus,2017,Austria
46,1,1,top,Die Fledermaus,AT,Fledermaus,2017,Austria
47,0,Breakout,rising,Volksoper,AT,Fledermaus,2017,Austria
48,0,Breakout,rising,Domestic pig,AT,Fledermaus,2017,Austria
49,0,Breakout,rising,Volksgarten,AT,Fledermaus,2017,Austria
50,0,Breakout,rising,Tiger,AT,Fledermaus,2017,Austria
51,0,Breakout,rising,Ghost,AT,Fledermaus,2017,Austria
52,0,Breakout,rising,Animal,AT,Fledermaus,2017,Austria
53,0,Breakout,rising,Costume,AT,Fledermaus,2017,Austria
54,0,Breakout,rising,Die Fledermaus,AT,Fledermaus,2017,Austria
55,0,+90%,rising,Cabaret Fledermaus,AT,Fledermaus,2017,Austria
56,0,+90%,rising,handicraft,AT,Fledermaus,2017,Austria
57,0,+90%,rising,Johann Strauss II,AT,Fledermaus,2017,Austria
58,0,+90%,rising,Vienna State Opera,AT,Fledermaus,2017,Austria
59,0,+40%,rising,Microbat,AT,Fledermaus,2017,Austria
60,0,+40%,rising,Vampire,AT,Fledermaus,2017,Austria
61,1,100,top,Microbat,AT,Fledermaus,2018,Austria
62,1,25,top,Cabaret Fledermaus,AT,Fledermaus,2018,Austria
63,1,16,top,Die Fledermaus,AT,Fledermaus,2018,Austria
64,1,4,top,Meat,AT,Fledermaus,2018,Austria
65,1,3,top,Volksoper,AT,Fledermaus,2018,Austria
66,1,3,top,Operetta,AT,Fledermaus,2018,Austria
67,1,3,top,Domestic pig,AT,Fledermaus,2018,Austria
68,1,3,top,Costume,AT,Fledermaus,2018,Austria
69,1,3,top,Weitra,AT,Fledermaus,2018,Austria
70,1,3,top,discothèque,AT,Fledermaus,2018,Austria
71,1,3,top,Vienna State Opera,AT,Fledermaus,2018,Austria
72,1,2,top,Nightclub,AT,Fledermaus,2018,Austria
73,1,2,top,Johann Strauss II,AT,Fledermaus,2018,Austria
74,1,1,top,Pokémon,AT,Fledermaus,2018,Austria
75,1,1,top,Cattle,AT,Fledermaus,2018,Austria
76,1,1,top,Quadrille,AT,Fledermaus,2018,Austria
77,1,1,top,Power animal,AT,Fledermaus,2018,Austria
78,1,1,top,Makeup,AT,Fledermaus,2018,Austria
79,1,1,top,Opera,AT,Fledermaus,2018,Austria
80,1,1,top,template,AT,Fledermaus,2018,Austria
81,1,1,top,Alpen - Fledermaus,AT,Fledermaus,2018,Austria
82,0,Breakout,rising,Meat,AT,Fledermaus,2018,Austria
83,0,Breakout,rising,Weitra,AT,Fledermaus,2018,Austria
84,0,Breakout,rising,Pokémon,AT,Fledermaus,2018,Austria
85,0,Breakout,rising,Cattle,AT,Fledermaus,2018,Austria
86,0,Breakout,rising,Quadrille,AT,Fledermaus,2018,Austria
87,0,Breakout,rising,Power animal,AT,Fledermaus,2018,Austria
88,0,Breakout,rising,Makeup,AT,Fledermaus,2018,Austria
89,0,Breakout,rising,Opera,AT,Fledermaus,2018,Austria
90,0,Breakout,rising,template,AT,Fledermaus,2018,Austria
91,0,+180%,rising,Volksoper,AT,Fledermaus,2018,Austria
92,0,+180%,rising,Domestic pig,AT,Fledermaus,2018,Austria
93,0,+60%,rising,Die Fledermaus,AT,Fledermaus,2018,Austria
94,1,100,top,Microbat,AT,Fledermaus,2019,Austria
95,1,21,top,Die Fledermaus,AT,Fledermaus,2019,Austria
96,1,18,top,Cabaret Fledermaus,AT,Fledermaus,2019,Austria
97,1,5,top,Operetta,AT,Fledermaus,2019,Austria
98,1,5,top,Domestic pig,AT,Fledermaus,2019,Austria
99,1,5,top,Johann Strauss II,AT,Fledermaus,2019,Austria
100,1,3,top,Halloween,AT,Fledermaus,2019,Austria
101,1,3,top,Power animal,AT,Fledermaus,2019,Austria
102,1,3,top,Kufstein,AT,Fledermaus,2019,Austria
103,1,3,top,Costume,AT,Fledermaus,2019,Austria
104,1,2,top,Meat,AT,Fledermaus,2019,Austria
105,1,2,top,Makeup,AT,Fledermaus,2019,Austria
106,1,1,top,Bats,AT,Fledermaus,2019,Austria
107,1,1,top,Graz Opera,AT,Fledermaus,2019,Austria
108,1,1,top,New Year's Eve,AT,Fledermaus,2019,Austria
109,1,1,top,Opera,AT,Fledermaus,2019,Austria
110,1,1,top,Cave,AT,Fledermaus,2019,Austria
111,1,1,top,Old World fruit bats,AT,Fledermaus,2019,Austria
112,1,1,top,Owls,AT,Fledermaus,2019,Austria
113,1,1,top,The Magic Flute,AT,Fledermaus,2019,Austria
114,0,Breakout,rising,Graz Opera,AT,Fledermaus,2019,Austria
115,0,Breakout,rising,New Year's Eve,AT,Fledermaus,2019,Austria
116,0,Breakout,rising,Cave,AT,Fledermaus,2019,Austria
117,0,Breakout,rising,Owls,AT,Fledermaus,2019,Austria
118,0,Breakout,rising,The Magic Flute,AT,Fledermaus,2019,Austria
119,0,+550%,rising,Operetta,AT,Fledermaus,2019,Austria
120,0,+250%,rising,Kufstein,AT,Fledermaus,2019,Austria
121,0,+200%,rising,Johann Strauss II,AT,Fledermaus,2019,Austria
122,0,+180%,rising,Makeup,AT,Fledermaus,2019,Austria
123,0,+130%,rising,Halloween,AT,Fledermaus,2019,Austria
124,0,+130%,rising,Power animal,AT,Fledermaus,2019,Austria
125,0,+120%,rising,Domestic pig,AT,Fledermaus,2019,Austria
126,0,+90%,rising,Opera,AT,Fledermaus,2019,Austria
127,0,+40%,rising,Meat,AT,Fledermaus,2019,Austria
128,1,100,top,Microbat,AT,Fledermaus,2020,Austria
129,1,8,top,Cabaret Fledermaus,AT,Fledermaus,2020,Austria
130,1,5,top,Soup,AT,Fledermaus,2020,Austria
131,1,4,top,Die Fledermaus,AT,Fledermaus,2020,Austria
132,1,4,top,Domestic pig,AT,Fledermaus,2020,Austria
133,1,3,top,Meat,AT,Fledermaus,2020,Austria
134,1,3,top,Halloween,AT,Fledermaus,2020,Austria
135,1,2,top,Costume,AT,Fledermaus,2020,Austria
136,1,2,top,Makeup,AT,Fledermaus,2020,Austria
137,1,2,top,Old World fruit bats,AT,Fledermaus,2020,Austria
138,1,2,top,The Masked Singer,AT,Fledermaus,2020,Austria
139,1,2,top,China,AT,Fledermaus,2020,Austria
140,1,2,top,Essen,AT,Fledermaus,2020,Austria
141,1,2,top,Cattle,AT,Fledermaus,2020,Austria
142,1,2,top,Alpen - Fledermaus,AT,Fledermaus,2020,Austria
143,1,1,top,Vienna State Opera,AT,Fledermaus,2020,Austria
144,1,1,top,handicraft,AT,Fledermaus,2020,Austria
145,1,1,top,Vampire bat,AT,Fledermaus,2020,Austria
146,1,1,top,Mammal,AT,Fledermaus,2020,Austria
147,1,1,top,Species,AT,Fledermaus,2020,Austria
148,1,1,top,Opera,AT,Fledermaus,2020,Austria
149,1,1,top,Ultrasound,AT,Fledermaus,2020,Austria
150,1,1,top,Hibernation,AT,Fledermaus,2020,Austria
151,1,1,top,Wanted poster,AT,Fledermaus,2020,Austria
152,0,Breakout,rising,Soup,AT,Fledermaus,2020,Austria
153,0,Breakout,rising,Halloween,AT,Fledermaus,2020,Austria
154,0,Breakout,rising,The Masked Singer,AT,Fledermaus,2020,Austria
155,0,Breakout,rising,China,AT,Fledermaus,2020,Austria
156,0,Breakout,rising,Essen,AT,Fledermaus,2020,Austria
157,0,Breakout,rising,Cattle,AT,Fledermaus,2020,Austria
158,0,Breakout,rising,Species,AT,Fledermaus,2020,Austria
159,0,Breakout,rising,Opera,AT,Fledermaus,2020,Austria
160,0,Breakout,rising,Ultrasound,AT,Fledermaus,2020,Austria
161,0,Breakout,rising,Hibernation,AT,Fledermaus,2020,Austria
162,0,Breakout,rising,Wanted poster,AT,Fledermaus,2020,Austria
163,0,+160%,rising,Alpen - Fledermaus,AT,Fledermaus,2020,Austria
164,0,+80%,rising,Makeup,AT,Fledermaus,2020,Austria
165,0,+80%,rising,Old World fruit bats,AT,Fledermaus,2020,Austria
166,0,+80%,rising,handicraft,AT,Fledermaus,2020,Austria
167,0,+80%,rising,Vampire bat,AT,Fledermaus,2020,Austria
168,0,+80%,rising,Mammal,AT,Fledermaus,2020,Austria
169,0,+50%,rising,Meat,AT,Fledermaus,2020,Austria
1,1,100,top,Bats,AU,bats,2016,Australia
2,1,51,top,Batting,AU,bats,2016,Australia
3,1,45,top,Cricket,AU,bats,2016,Australia
4,1,40,top,Cricket bat,AU,bats,2016,Australia
5,1,7,top,Baseball bat,AU,bats,2016,Australia
6,1,6,top,Flying foxes,AU,bats,2016,Australia
7,1,6,top,Table tennis,AU,bats,2016,Australia
8,1,5,top,Megabat,AU,bats,2016,Australia
9,1,4,top,Baseball,AU,bats,2016,Australia
10,1,4,top,Table tennis racket,AU,bats,2016,Australia
11,1,4,top,Gray-Nicolls,AU,bats,2016,Australia
12,1,3,top,Softball,AU,bats,2016,Australia
13,1,3,top,Softball Bat,AU,bats,2016,Australia
14,1,3,top,New Balance,AU,bats,2016,Australia
15,1,3,top,Rebel Sport Limited,AU,bats,2016,Australia
16,1,2,top,Batman,AU,bats,2016,Australia
17,1,2,top,Stardew Valley,AU,bats,2016,Australia
18,1,2,top,Gunn & Moore,AU,bats,2016,Australia
19,1,1,top,Mushroom,AU,bats,2016,Australia
20,1,1,top,Cricket Helmet,AU,bats,2016,Australia
21,1,1,top,Columbidae,AU,bats,2016,Australia
22,1,<1,top,The Bats,AU,bats,2016,Australia
23,1,<1,top,Glove,AU,bats,2016,Australia
24,1,<1,top,Sanspareils Greenlands,AU,bats,2016,Australia
25,1,<1,top,Adelaide Cricket Warehouse,AU,bats,2016,Australia
26,0,Breakout,rising,Stardew Valley,AU,bats,2016,Australia
27,0,Breakout,rising,Gunn & Moore,AU,bats,2016,Australia
