"","year","country","dengue activity"
"1",2002,"Argentina",0.396
"2",2002,"Bolivia",0.396
"3",2002,"Brazil",0.396
"4",2002,"India",0.396
"5",2002,"Indonesia",0.396
"6",2002,"Mexico",0.396
"7",2002,"Philippines",0.396
"8",2002,"Singapore",0.396
"9",2002,"Thailand",0.396
"10",2002,"Venezuela",0.396
"11",2003,"Argentina",45.486
"12",2003,"Bolivia",45.486
"13",2003,"Brazil",45.486
"14",2003,"India",45.486
"15",2003,"Indonesia",45.486
"16",2003,"Mexico",45.486
"17",2003,"Philippines",45.486
"18",2003,"Singapore",45.486
"19",2003,"Thailand",45.486
"20",2003,"Venezuela",45.486
"21",2003,"Argentina",45.486
"22",2003,"Bolivia",45.486
"23",2003,"Brazil",45.486
"24",2003,"India",45.486
"25",2003,"Indonesia",45.486
"26",2003,"Mexico",45.486
"27",2003,"Philippines",45.486
"28",2003,"Singapore",45.486
"29",2003,"Thailand",45.486
"30",2003,"Venezuela",45.486
"31",2003,"Argentina",45.486
"32",2003,"Bolivia",45.486
"33",2003,"Brazil",45.486
"34",2003,"India",45.486
"35",2003,"Indonesia",45.486
"36",2003,"Mexico",45.486
"37",2003,"Philippines",45.486
"38",2003,"Singapore",45.486
"39",2003,"Thailand",45.486
"40",2003,"Venezuela",45.486
"41",2003,"Argentina",45.486
"42",2003,"Bolivia",45.486
"43",2003,"Brazil",45.486
"44",2003,"India",45.486
"45",2003,"Indonesia",45.486
"46",2003,"Mexico",45.486
"47",2003,"Philippines",45.486
"48",2003,"Singapore",45.486
"49",2003,"Thailand",45.486
"50",2003,"Venezuela",45.486
"51",2003,"Argentina",45.486
"52",2003,"Bolivia",45.486
"53",2003,"Brazil",45.486
"54",2003,"India",45.486
"55",2003,"Indonesia",45.486
"56",2003,"Mexico",45.486
"57",2003,"Philippines",45.486
"58",2003,"Singapore",45.486
"59",2003,"Thailand",45.486
"60",2003,"Venezuela",45.486
"61",2003,"Argentina",45.486
"62",2003,"Bolivia",45.486
"63",2003,"Brazil",45.486
"64",2003,"India",45.486
"65",2003,"Indonesia",45.486
"66",2003,"Mexico",45.486
"67",2003,"Philippines",45.486
"68",2003,"Singapore",45.486
"69",2003,"Thailand",45.486
"70",2003,"Venezuela",45.486
"71",2003,"Argentina",45.486
"72",2003,"Bolivia",45.486
"73",2003,"Brazil",45.486
"74",2003,"India",45.486
"75",2003,"Indonesia",45.486
"76",2003,"Mexico",45.486
"77",2003,"Philippines",45.486
"78",2003,"Singapore",45.486
"79",2003,"Thailand",45.486
"80",2003,"Venezuela",45.486
"81",2003,"Argentina",45.486
"82",2003,"Bolivia",45.486
"83",2003,"Brazil",45.486
"84",2003,"India",45.486
"85",2003,"Indonesia",45.486
"86",2003,"Mexico",45.486
"87",2003,"Philippines",45.486
"88",2003,"Singapore",45.486
"89",2003,"Thailand",45.486
"90",2003,"Venezuela",45.486
"91",2003,"Argentina",45.486
"92",2003,"Bolivia",45.486
"93",2003,"Brazil",45.486
"94",2003,"India",45.486
"95",2003,"Indonesia",45.486
"96",2003,"Mexico",45.486
"97",2003,"Philippines",45.486
"98",2003,"Singapore",45.486
"99",2003,"Thailand",45.486
"100",2003,"Venezuela",45.486
"101",2003,"Argentina",45.486
"102",2003,"Bolivia",45.486
"103",2003,"Brazil",45.486
"104",2003,"India",45.486
"105",2003,"Indonesia",45.486
"106",2003,"Mexico",45.486
"107",2003,"Philippines",45.486
"108",2003,"Singapore",45.486
"109",2003,"Thailand",45.486
"110",2003,"Venezuela",45.486
"111",2003,"Argentina",45.486
"112",2003,"Bolivia",45.486
"113",2003,"Brazil",45.486
"114",2003,"India",45.486
"115",2003,"Indonesia",45.486
"116",2003,"Mexico",45.486
"117",2003,"Philippines",45.486
"118",2003,"Singapore",45.486
"119",2003,"Thailand",45.486
"120",2003,"Venezuela",45.486
"121",2003,"Argentina",45.486
"122",2003,"Bolivia",45.486
"123",2003,"Brazil",45.486
"124",2003,"India",45.486
"125",2003,"Indonesia",45.486
"126",2003,"Mexico",45.486
"127",2003,"Philippines",45.486
"128",2003,"Singapore",45.486
"129",2003,"Thailand",45.486
"130",2003,"Venezuela",45.486
"131",2003,"Argentina",45.486
"132",2003,"Bolivia",45.486
"133",2003,"Brazil",45.486
"134",2003,"India",45.486
"135",2003,"Indonesia",45.486
"136",2003,"Mexico",45.486
"137",2003,"Philippines",45.486
"138",2003,"Singapore",45.486
"139",2003,"Thailand",45.486
"140",2003,"Venezuela",45.486
"141",2003,"Argentina",45.486
"142",2003,"Bolivia",45.486
"143",2003,"Brazil",45.486
"144",2003,"India",45.486
"145",2003,"Indonesia",45.486
"146",2003,"Mexico",45.486
"147",2003,"Philippines",45.486
"148",2003,"Singapore",45.486
"149",2003,"Thailand",45.486
"150",2003,"Venezuela",45.486
"151",2003,"Argentina",45.486
"152",2003,"Bolivia",45.486
"153",2003,"Brazil",45.486
"154",2003,"India",45.486
"155",2003,"Indonesia",45.486
"156",2003,"Mexico",45.486
"157",2003,"Philippines",45.486
"158",2003,"Singapore",45.486
"159",2003,"Thailand",45.486
"160",2003,"Venezuela",45.486
"161",2003,"Argentina",45.486
"162",2003,"Bolivia",45.486
"163",2003,"Brazil",45.486
"164",2003,"India",45.486
"165",2003,"Indonesia",45.486
"166",2003,"Mexico",45.486
"167",2003,"Philippines",45.486
"168",2003,"Singapore",45.486
"169",2003,"Thailand",45.486
"170",2003,"Venezuela",45.486
"171",2003,"Argentina",45.486
"172",2003,"Bolivia",45.486
"173",2003,"Brazil",45.486
"174",2003,"India",45.486
"175",2003,"Indonesia",45.486
"176",2003,"Mexico",45.486
"177",2003,"Philippines",45.486
"178",2003,"Singapore",45.486
"179",2003,"Thailand",45.486
"180",2003,"Venezuela",45.486
"181",2003,"Argentina",45.486
"182",2003,"Bolivia",45.486
"183",2003,"Brazil",45.486
"184",2003,"India",45.486
"185",2003,"Indonesia",45.486
"186",2003,"Mexico",45.486
"187",2003,"Philippines",45.486
"188",2003,"Singapore",45.486
"189",2003,"Thailand",45.486
"190",2003,"Venezuela",45.486
"191",2003,"Argentina",45.486
"192",2003,"Bolivia",45.486
"193",2003,"Brazil",45.486
"194",2003,"India",45.486
"195",2003,"Indonesia",45.486
"196",2003,"Mexico",45.486
