"","year","country","influenza activity"
"1",2002,"Argentina",503
"2",2002,"Australia",503
"3",2002,"Austria",503
"4",2002,"Belgium",503
"5",2002,"Bolivia",503
"6",2002,"Brazil",503
"7",2002,"Bulgaria",503
"8",2002,"Canada",503
"9",2002,"Chile",503
"10",2002,"France",503
"11",2002,"Germany",503
"12",2002,"Hungary",503
"13",2002,"Japan",503
"14",2002,"Mexico",503
"15",2002,"Netherlands",503
"16",2002,"New.Zealand",503
"17",2002,"Norway",503
"18",2002,"Paraguay",503
"19",2002,"Peru",503
"20",2002,"Poland",503
"21",2002,"Romania",503
"22",2002,"Russia",503
"23",2002,"South.Africa",503
"24",2002,"Spain",503
"25",2002,"Sweden",503
"26",2002,"Switzerland",503
"27",2002,"Ukraine",503
"28",2002,"United.States",503
"29",2002,"Uruguay",503
"30",2003,"Argentina",244497
"31",2003,"Australia",244497
"32",2003,"Austria",244497
"33",2003,"Belgium",244497
"34",2003,"Bolivia",244497
"35",2003,"Brazil",244497
"36",2003,"Bulgaria",244497
"37",2003,"Canada",244497
"38",2003,"Chile",244497
"39",2003,"France",244497
"40",2003,"Germany",244497
"41",2003,"Hungary",244497
"42",2003,"Japan",244497
"43",2003,"Mexico",244497
"44",2003,"Netherlands",244497
"45",2003,"New.Zealand",244497
"46",2003,"Norway",244497
"47",2003,"Paraguay",244497
"48",2003,"Peru",244497
"49",2003,"Poland",244497
"50",2003,"Romania",244497
"51",2003,"Russia",244497
"52",2003,"South.Africa",244497
"53",2003,"Spain",244497
"54",2003,"Sweden",244497
"55",2003,"Switzerland",244497
"56",2003,"Ukraine",244497
"57",2003,"United.States",244497
"58",2003,"Uruguay",244497
"59",2003,"Argentina",244497
"60",2003,"Australia",244497
"61",2003,"Austria",244497
"62",2003,"Belgium",244497
"63",2003,"Bolivia",244497
"64",2003,"Brazil",244497
"65",2003,"Bulgaria",244497
"66",2003,"Canada",244497
"67",2003,"Chile",244497
"68",2003,"France",244497
"69",2003,"Germany",244497
"70",2003,"Hungary",244497
"71",2003,"Japan",244497
"72",2003,"Mexico",244497
"73",2003,"Netherlands",244497
"74",2003,"New.Zealand",244497
"75",2003,"Norway",244497
"76",2003,"Paraguay",244497
"77",2003,"Peru",244497
"78",2003,"Poland",244497
"79",2003,"Romania",244497
"80",2003,"Russia",244497
"81",2003,"South.Africa",244497
"82",2003,"Spain",244497
"83",2003,"Sweden",244497
"84",2003,"Switzerland",244497
"85",2003,"Ukraine",244497
"86",2003,"United.States",244497
"87",2003,"Uruguay",244497
"88",2003,"Argentina",244497
"89",2003,"Australia",244497
"90",2003,"Austria",244497
"91",2003,"Belgium",244497
"92",2003,"Bolivia",244497
"93",2003,"Brazil",244497
"94",2003,"Bulgaria",244497
"95",2003,"Canada",244497
"96",2003,"Chile",244497
"97",2003,"France",244497
"98",2003,"Germany",244497
"99",2003,"Hungary",244497
"100",2003,"Japan",244497
"101",2003,"Mexico",244497
"102",2003,"Netherlands",244497
