label,count,year
Lemonis,26.3323,2016
Scott,24.4514,2016
Don,17.8683,2016
Business,14.4201,2016
Big,12.8527,2016
Today,12.2257,2016
Good,12.2257,2016
Company,12.2257,2016
Ipo,11.2853,2016
Talk,9.7179,2016
Shares,9.7179,2016
Jackie,9.4044,2016
Baseball,9.0909,2016
Market,8.7774,2016
Something,8.7774,2016
Million,8.1505,2016
Products,8.1505,2016
Global,7.837,2016
Let,7.5235,2016
Markets,7.21,2016
Exchange,6.8966,2016
Trading,6.8966,2016
Guys,6.8966,2016
Trump,6.5831,2016
Thank,6.5831,2016
Better,6.5831,2016
Building,6.5831,2016
Does,6.2696,2016
Public,6.2696,2016
World,6.2696,2016
Ebola,5.9561,2016
Making,5.9561,2016
Animals,5.9561,2016
Live,5.9561,2016
Already,5.6426,2016
Started,5.6426,2016
Kind,5.6426,2016
Stock,5.6426,2016
Gonna,5.6426,2016
Night,5.6426,2016
10¢,5.6426,2016
Country,5.3292,2016
Might,5.3292,2016
Yeah,5.3292,2016
Looking,5.3292,2016
Thing,5.3292,2016
Police,5.0157,2016
Problem,5.0157,2016
Viruses,5.0157,2016
Remember,5.0157,2016
Game,5.0157,2016
Mean,5.0157,2016
Bought,5.0157,2016
Share,4.7022,2016
300000,4.7022,2016
Tree,4.7022,2016
Comes,4.7022,2016
Little,4.7022,2016
Reasons,4.7022,2016
Point,4.7022,2016
Coming,4.7022,2016
Virus,4.7022,2016
Wildlife,4.3887,2016
Bring,4.3887,2016
Call,4.3887,2016
Morning,4.3887,2016
Habitat,4.3887,2016
Went,4.3887,2016
Actually,4.3887,2016
Billion,4.3887,2016
Ahead,4.3887,2016
Things,4.0752,2016
$19,4.0752,2016
Doing,4.0752,2016
Huge,4.0752,2016
Buy,4.0752,2016
Away,4.0752,2016
Months,4.0752,2016
Run,4.0752,2016
Came,4.0752,2016
Probably,4.0752,2016
President,4.0752,2016
Put,4.0752,2016
Able,4.0752,2016
American,4.0752,2016
Lost,4.0752,2016
Done,4.0752,2016
Check,3.7618,2016
House,3.7618,2016
Important,3.7618,2016
Attempt,3.7618,2016
Order,3.7618,2016
Nasdaq,3.7618,2016
Again,3.7618,2016
Inside,3.7618,2016
Product,3.7618,2016
Why,3.7618,2016
$12000,3.7618,2016
Trying,3.7618,2016
Open,3.4483,2016
Ago,3.4483,2016
Maybe,3.4483,2016
Happened,3.4483,2016
Zika,3.4483,2016
Louisville,3.4483,2016
Friday,3.4483,2016
Growing,3.4483,2016
Start,3.4483,2016
Slugger,3.4483,2016
John,3.4483,2016
Weeks,3.4483,2016
Always,3.4483,2016
Tech,3.4483,2016
Different,3.4483,2016
Small,3.4483,2016
Finally,3.4483,2016
Didn,3.4483,2016
Five,3.4483,2016
Humans,3.4483,2016
Hear,3.1348,2016
Price,3.1348,2016
Watch,3.1348,2016
Deal,3.1348,2016
Line,3.1348,2016
Expected,3.1348,2016
League,3.1348,2016
Getting,3.1348,2016
Took,3.1348,2016
Feel,3.1348,2016
America,3.1348,2016
Difference,3.1348,2016
Money,3.1348,2016
Nice,3.1348,2016
Else,3.1348,2016
Washington,3.1348,2016
Ball,3.1348,2016
Story,3.1348,2016
Yes,3.1348,2016
Change,3.1348,2016
Hard,3.1348,2016
Population,3.1348,2016
Hand,3.1348,2016
Jerry,3.1348,2016
Hillary,3.1348,2016
Front,2.8213,2016
Marcus,2.8213,2016
Saying,2.8213,2016
Rent,2.8213,2016
Nothing,2.8213,2016
Sports,2.8213,2016
Everything,2.8213,2016
Dad,2.8213,2016
Region,2.8213,2016
Happening,2.8213,2016
Cost,2.8213,2016
Please,2.8213,2016
Goes,2.8213,2016
Costing,2.8213,2016
Operator,2.8213,2016
Amazing,2.8213,2016
Left,2.8213,2016
Future,2.8213,2016
85¢,2.8213,2016
Focus,2.8213,2016
Book,2.8213,2016
Won,2.8213,2016
2012,2.8213,2016
Logo,2.8213,2016
Try,2.8213,2016
List,2.8213,2016
Clinton,2.8213,2016
Times,2.8213,2016
Major,2.8213,2016
Above,2.8213,2016
Seeing,2.5078,2016
Bit,2.5078,2016
South,2.5078,2016
Job,2.5078,2016
Outside,2.5078,2016
Stuff,2.5078,2016
Key,2.5078,2016
Biggest,2.5078,2016
Yesterday,2.5078,2016
Wanting,2.5078,2016
Moment,2.5078,2016
System,2.5078,2016
Isn,2.5078,2016
Survive,2.5078,2016
Everybody,2.5078,2016
Sense,2.5078,2016
Stocks,2.5078,2016
Sell,2.5078,2016
Father,2.5078,2016
Close,2.5078,2016
Mgm,2.5078,2016
Find,2.5078,2016
Seen,2.5078,2016
Absolutely,2.5078,2016
Property,2.5078,2016
Likely,2.5078,2016
Ideas,2.5078,2016
Companies,2.5078,2016
Kids,2.5078,2016
Forest,2.5078,2016
Believe,2.5078,2016
Moving,2.5078,2016
Having,2.5078,2016
Too,2.5078,2016
Agreement,2.5078,2016
Clear,2.5078,2016
Nine,2.5078,2016
Competition,2.5078,2016
Fight,2.1944,2016
Anymore,2.1944,2016
Environment,2.1944,2016
Area,2.1944,2016
Fire,2.1944,2016
Never,2.1944,2016
Family,2.1944,2016
Series,2.1944,2016
Protesters,2.1944,2016
Cubs,2.1944,2016
Couple,2.1944,2016
Burned,2.1944,2016
History,2.1944,2016
Putting,2.1944,2016
Attacks,2.1944,2016
Cause,2.1944,2016
1000,2.1944,2016
West,2.1944,2016
Six,2.1944,2016
Almost,2.1944,2016
Ones,2.1944,2016
Woods,2.1944,2016
Ever,2.1944,2016
Species,2.1944,2016
Points,2.1944,2016
Store,2.1944,2016
Bank,2.1944,2016
Wasn,2.1944,2016
Trade,2.1944,2016
Man,2.1944,2016
Cash,2.1944,2016
Floor,2.1944,2016
Either,2.1944,2016
Human,2.1944,2016
Tell,2.1944,2016
Enough,2.1944,2016
Gold,2.1944,2016
Head,2.1944,2016
Growth,2.1944,2016
Wait,1.8809,2016
Senator,1.8809,2016
Video,1.8809,2016
Source,1.8809,2016
China,1.8809,2016
Chicago,1.8809,2016
Immediately,1.8809,2016
Supply,1.8809,2016
Pathogens,1.8809,2016
Holding,1.8809,2016
Person,1.8809,2016
Obama,1.8809,2016
$30000,1.8809,2016
Old,1.8809,2016
Etfs,1.8809,2016
Control,1.8809,2016
Created,1.8809,2016
Itself,1.8809,2016
Painted,1.8809,2016
Higher,1.8809,2016
Save,1.8809,2016
Connection,1.8809,2016
Sales,1.8809,2016
Producer,1.8809,2016
Helping,1.8809,2016
Talking,1.8809,2016
National,1.8809,2016
Addition,1.8809,2016
Populations,1.8809,2016
Liz,1.8809,2016
Bodies,1.8809,2016
Bob,1.8809,2016
Animal,1.8809,2016
Move,1.8809,2016
42000,1.8809,2016
Jump,1.8809,2016
Living,1.8809,2016
Technology,1.8809,2016
Water,1.8809,2016
Talked,1.8809,2016
Opportunity,1.8809,2016
Sure,1.8809,2016
Telling,1.8809,2016
Needed,1.8809,2016
Chains,1.8809,2016
Double,1.8809,2016
Beat,1.8809,2016
Announced,1.8809,2016
Victoza®,1.8809,2016
Monkeys,1.8809,2016
Means,1.8809,2016
Hey,1.8809,2016
Handle,1.8809,2016
Blood,1.8809,2016
Pen,1.8809,2016
Fixed,1.8809,2016
Election,1.8809,2016
Waste,1.8809,2016
Flying,1.8809,2016
Hour,1.8809,2016
Others,1.8809,2016
Campaign,1.8809,2016
Joining,1.8809,2016
Music,1.8809,2016
Space,1.8809,2016
Kinds,1.8809,2016
Women,1.8809,2016
Course,1.8809,2016
Specific,1.8809,2016
Okay,1.8809,2016
Properties,1.8809,2016
Within,1.8809,2016
Economy,1.8809,2016
Reports,1.8809,2016
Ipos,1.8809,2016
Revenue,1.8809,2016
$22,1.8809,2016
Makes,1.8809,2016
Instead,1.8809,2016
Rush,1.8809,2016
Minute,1.8809,2016
Royalty,1.8809,2016
Paint,1.8809,2016
Dangerous,1.8809,2016
Successful,1.8809,2016
Largest,1.8809,2016
Pages,1.8809,2016
Doesn,1.8809,2016
Pricing,1.8809,2016
Mccain,1.8809,2016
Anything,1.8809,2016
Party,1.8809,2016
Play,1.8809,2016
Issue,1.5674,2016
Rally,1.5674,2016
Board,1.5674,2016
Birds,1.5674,2016
Giving,1.5674,2016
Gone,1.5674,2016
Matter,1.5674,2016
Allowing,1.5674,2016
Fathom,1.5674,2016
Challenges,1.5674,2016
Keep,1.5674,2016
Fine,1.5674,2016
Taught,1.5674,2016
Mammals,1.5674,2016
David,1.5674,2016
White,1.5674,2016
Young,1.5674,2016
Cities,1.5674,2016
Neil,1.5674,2016
Red,1.5674,2016
Goose,1.5674,2016
Happens,1.5674,2016
Bad,1.5674,2016
Recently,1.5674,2016
Scarlet,1.5674,2016
Dell,1.5674,2016
Post,1.5674,2016
Ronald,1.5674,2016
Media,1.5674,2016
Delegates,1.5674,2016
Risk,1.5674,2016
Beginning,1.5674,2016
Spoke,1.5674,2016
Dead,1.5674,2016
Destroyed,1.5674,2016
Crusaders,1.5674,2016
Security,1.5674,2016
Later,1.5674,2016
Gave,1.5674,2016
Impact,1.5674,2016
Oil,1.5674,2016
Face,1.5674,2016
Group,1.5674,2016
Become,1.5674,2016
Department,1.5674,2016
Donald,1.5674,2016
Laughs,1.5674,2016
Lead,1.5674,2016
Following,1.5674,2016
Fed,1.5674,2016
Twitter,1.5674,2016
Heart,1.5674,2016
Fall,1.5674,2016
Pretty,1.5674,2016
Ways,1.5674,2016
Thanks,1.5674,2016
Africa,1.5674,2016
Thousands,1.5674,2016
Stop,1.5674,2016
Employees,1.5674,2016
Usually,1.5674,2016
Flat,1.5674,2016
Least,1.5674,2016
Dies,1.5674,2016
Gosh,1.5674,2016
Plays,1.5674,2016
Broke,1.5674,2016
Guinea,1.5674,2016
Thought,1.5674,2016
Diseases,1.5674,2016
Problems,1.5674,2016
Lower,1.5674,2016
Single,1.5674,2016
Behemoths,1.5674,2016
Lincoln,1.5674,2016
Bart,1.5674,2016
Nobody,1.5674,2016
Profitable,1.5674,2016
Soft,1.5674,2016
Apparently,1.5674,2016
Worse,1.5674,2016
Priced,1.5674,2016
Potential,1.5674,2016
Guy,1.5674,2016
Looks,1.5674,2016
Flu,1.5674,2016
Terms,1.5674,2016
Test,1.5674,2016
Question,1.5674,2016
Far,1.5674,2016
Flow,1.5674,2016
Federal,1.5674,2016
Ceo,1.5674,2016
Easy,1.5674,2016
Basically,1.5674,2016
Based,1.5674,2016
Cave,1.5674,2016
Guess,1.5674,2016
Present,1.5674,2016
Fun,1.5674,2016
1849,1.5674,2016
Street,1.5674,2016
Town,1.5674,2016
Continue,1.5674,2016
Name,1.5674,2016
Minutes,1.5674,2016
Facility,1.5674,2016
Manages,1.5674,2016
Hiv,1.5674,2016
Stay,1.5674,2016
Indiscernible,1.5674,2016
Chopping,1.5674,2016
Lemonis,24.7458,2017
Scott,23.7288,2017
Don,16.2712,2017
Baseball,14.9153,2017
President,13.5593,2017
Business,10.5085,2017
Police,10.1695,2017
Something,9.8305,2017
Today,9.8305,2017
Trump,9.1525,2017
Lost,8.8136,2017
Company,8.4746,2017
Things,8.1356,2017
Talk,8.1356,2017
Jackie,7.4576,2017
Good,7.4576,2017
Why,7.4576,2017
Camels,7.1186,2017
Family,7.1186,2017
Jump,7.1186,2017
George,7.1186,2017
House,6.4407,2017
World,6.4407,2017
Building,6.1017,2017
Products,5.7627,2017
Doing,5.7627,2017
Live,5.7627,2017
Went,5.4237,2017
Let,5.4237,2017
Big,5.4237,2017
Thing,5.4237,2017
Keep,5.0847,2017
Members,5.0847,2017
Kind,5.0847,2017
Gonna,5.0847,2017
Different,5.0847,2017
10¢,5.0847,2017
Source,4.7458,2017
Eating,4.7458,2017
Little,4.7458,2017
Insects,4.7458,2017
Viruses,4.7458,2017
Yes,4.7458,2017
Dangerous,4.7458,2017
Mrs,4.7458,2017
Didn,4.7458,2017
Market,4.4068,2017
300000,4.4068,2017
White,4.4068,2017
Does,4.4068,2017
Tax,4.4068,2017
Order,4.4068,2017
Point,4.4068,2017
Virus,4.4068,2017
Thank,4.0678,2017
Fire,4.0678,2017
Months,4.0678,2017
Group,4.0678,2017
Forward,4.0678,2017
Food,4.0678,2017
Give,4.0678,2017
Figure,4.0678,2017
Ground,4.0678,2017
Question,4.0678,2017
Too,4.0678,2017
Coming,4.0678,2017
Night,4.0678,2017
Looking,4.0678,2017
