"","tot.fr","tot.de","tot.en","tot.it","tot.es","tot.pt","tot.ja","tot.ko","bats.en","bats.es","bats.pt","bats.de","bats.fr","bats.it","bats.ja","bats.ko","date"
"2016-01-10",190197299,269371811,1822234742,141352454,220397473,71749460,283184023,15858278,598,4803,2759,629,3885,1730,5070,144,2016-01-10
"2016-01-17",187851807,277806217,1861393585,139369485,254478600,75537684,282429122,17814193,800,7976,2576,640,4089,1836,3747,288,2016-01-17
"2016-01-24",183857962,270729864,1858669215,135131754,255972467,72617170,275575573,19102657,583,7118,2581,623,5232,1981,3312,267,2016-01-24
"2016-01-31",182407440,266629279,1853207603,134926349,268707556,70627552,272820173,18123326,659,5869,2843,553,4321,1805,3851,255,2016-01-31
"2016-02-07",177450861,255005525,1837374846,135222978,265482609,67191962,268736255,16650988,602,6030,2902,638,4327,1574,3316,241,2016-02-07
"2016-02-14",177970045,258274956,1806180426,142382361,278741820,72010669,278556331,18650418,586,6570,2760,566,4109,1655,7095,321,2016-02-14
"2016-02-21",177287506,255329842,1837729500,134426541,288565249,78329765,269801471,18504350,531,6205,3481,610,3968,2140,3476,243,2016-02-21
"2016-02-28",178840987,251274981,1810639248,131807381,285747020,82967549,257730630,18559430,949,6249,3427,758,3996,2085,3517,198,2016-02-28
"2016-03-06",178375616,251500978,1840691859,135932537,298559908,84272267,256117578,18800324,926,6454,3858,647,3675,1883,3878,228,2016-03-06
"2016-03-13",174115703,245100760,1752692003,128729493,287882746,85021295,254449073,18850549,591,6397,3832,648,3613,1877,3365,289,2016-03-13
"2016-03-20",169958551,235839461,1703603968,125335902,274646731,88941164,252677743,19985619,534,5980,3775,632,3465,2080,3051,212,2016-03-20
"2016-03-27",165933188,234087623,1664962939,124511152,240041297,85093804,246005551,19186104,486,4722,3907,562,3578,1869,2943,261,2016-03-27
"2016-04-03",170521913,237243923,1709863855,130541522,281467046,91042806,244560255,18902126,562,5796,4378,645,3466,2368,2984,206,2016-04-03
"2016-04-10",164537165,236096789,1746807336,122223407,292395486,91152996,253267229,19214484,562,7143,5423,904,3674,2382,3239,196,2016-04-10
"2016-04-17",178531258,235092552,1725127346,116682029,293183714,87761745,250349028,21218359,634,7283,4259,579,3815,2308,4984,236,2016-04-17
"2016-04-24",195142752,237734458,1752636512,122185224,294150418,85482283,253045168,19582624,706,6845,3529,689,4480,2362,3787,217,2016-04-24
"2016-05-01",172287779,234756631,1720363703,124117227,280678148,87581921,246359958,19279780,607,6499,4238,634,3508,6498,3170,414,2016-05-01
"2016-05-08",161407742,208054446,1708088958,119800257,280455659,81669487,278928982,19073002,876,7021,3770,559,3778,2789,4200,255,2016-05-08
"2016-05-15",169749279,228297194,1715582526,125889869,281068581,86281427,259581340,20281928,539,7441,3573,690,4267,2752,4283,332,2016-05-15
"2016-05-22",165367503,226021509,1733606973,122981171,290492164,86493109,258739557,20195270,630,8875,3827,678,4351,2630,5492,236,2016-05-22
"2016-05-29",161248844,229804275,1682411931,124728258,284434419,83730012,256768642,20724907,574,7177,3937,631,4803,2724,3955,392,2016-05-29
"2016-06-05",165903633,234235839,1705193882,124075849,280474169,88259920,250988648,20746355,551,7033,4064,622,4208,2258,3994,325,2016-06-05
"2016-06-12",158617468,233027982,1686590779,120731119,273444616,82431639,259785603,22500830,580,6848,3828,605,4066,1991,4158,285,2016-06-12
"2016-06-19",167197687,238423424,1690315885,120618296,255095376,83203173,259989669,21869342,545,6882,3691,646,4062,1895,4217,297,2016-06-19
"2016-06-26",144025334,225139233,1682245842,114162517,242286341,80092710,263136621,20353054,468,6075,3509,601,3938,2542,4810,309,2016-06-26
"2016-07-03",141977099,226431701,1688879718,113052316,233410283,76963565,255173025,19373916,435,5603,3292,582,3821,2612,4197,261,2016-07-03
"2016-07-10",132725932,215028272,1687169490,109322310,230198738,75292092,260464898,17009086,495,5627,2924,591,4492,3255,4668,166,2016-07-10
"2016-07-17",140884472,221426324,1654245607,108187729,225336714,74439014,258161295,15982454,436,5644,2938,601,4437,3178,4796,149,2016-07-17
"2016-07-24",136058981,207346593,1823078537,103169307,220331125,72101481,253199780,16953690,457,5472,2816,623,5846,3546,5579,154,2016-07-24
"2016-07-31",133855036,207744866,1966079839,100712151,223959916,73407884,243603267,15934813,588,6005,3021,665,5836,3390,6409,225,2016-07-31
"2016-08-07",138055029,208098960,1907284638,102302211,226563565,74472614,246402216,16857523,487,5695,3056,606,5250,3786,6580,225,2016-08-07
