"","country","year_week","value","indicator","country_code","new_cases","population","FirstDose","SecondDose"
"1","Belgium","2020-W11",13.2263652490271,"Weekly new hospital admissions per 100k","BE",1348,11522440,NA,NA
"2","Belgium","2020-W12",13.2263652490271,"Weekly new hospital admissions per 100k","BE",3673,11522440,NA,NA
"3","Belgium","2020-W13",30.2974022863213,"Weekly new hospital admissions per 100k","BE",8130,11522440,NA,NA
"4","Belgium","2020-W14",30.7573743061366,"Weekly new hospital admissions per 100k","BE",9694,11522440,NA,NA
"5","Belgium","2020-W15",24.3785170502081,"Weekly new hospital admissions per 100k","BE",11175,11522440,NA,NA
"6","Belgium","2020-W16",16.680494756319,"Weekly new hospital admissions per 100k","BE",7963,11522440,NA,NA
"7","Belgium","2020-W17",12.1675617317166,"Weekly new hospital admissions per 100k","BE",5703,11522440,NA,NA
"8","Belgium","2020-W18",7.73273716330916,"Weekly new hospital admissions per 100k","BE",3095,11522440,NA,NA
"9","Belgium","2020-W19",5.41551962952291,"Weekly new hospital admissions per 100k","BE",3051,11522440,NA,NA
"10","Belgium","2020-W20",3.723169745297,"Weekly new hospital admissions per 100k","BE",2071,11522440,NA,NA
"11","Belgium","2020-W21",2.98547877012161,"Weekly new hospital admissions per 100k","BE",1510,11522440,NA,NA
"12","Belgium","2020-W22",2.12628575197614,"Weekly new hospital admissions per 100k","BE",1144,11522440,NA,NA
"13","Belgium","2020-W23",1.56216912390084,"Weekly new hospital admissions per 100k","BE",847,11522440,NA,NA
"14","Belgium","2020-W24",1.24105658176567,"Weekly new hospital admissions per 100k","BE",671,11522440,NA,NA
"15","Belgium","2020-W25",1.05880351731057,"Weekly new hospital admissions per 100k","BE",668,11522440,NA,NA
"16","Belgium","2020-W26",0.850514300790458,"Weekly new hospital admissions per 100k","BE",607,11522440,NA,NA
"17","Belgium","2020-W27",0.685618671045369,"Weekly new hospital admissions per 100k","BE",637,11522440,NA,NA
"18","Belgium","2020-W28",0.564116628075304,"Weekly new hospital admissions per 100k","BE",704,11522440,NA,NA
"19","Belgium","2020-W29",0.815799431370439,"Weekly new hospital admissions per 100k","BE",1385,11522440,NA,NA
"20","Belgium","2020-W30",1.07616095202058,"Weekly new hospital admissions per 100k","BE",2489,11522440,NA,NA
"21","Belgium","2020-W31",1.45802451564079,"Weekly new hospital admissions per 100k","BE",3759,11522440,NA,NA
"22","Belgium","2020-W32",1.64027758009588,"Weekly new hospital admissions per 100k","BE",4340,11522440,NA,NA
"23","Belgium","2020-W33",2.11760703462114,"Weekly new hospital admissions per 100k","BE",3751,11522440,NA,NA
"24","Belgium","2020-W34",1.47538195035079,"Weekly new hospital admissions per 100k","BE",3453,11522440,NA,NA
"25","Belgium","2020-W35",0.893907887565481,"Weekly new hospital admissions per 100k","BE",3121,11522440,NA,NA
"26","Belgium","2020-W36",1.03276736524556,"Weekly new hospital admissions per 100k","BE",3655,11522440,NA,NA
"27","Belgium","2020-W37",1.84856679661599,"Weekly new hospital admissions per 100k","BE",6158,11522440,NA,NA
"28","Belgium","2020-W38",2.75115340153648,"Weekly new hospital admissions per 100k","BE",10108,11522440,NA,NA
"29","Belgium","2020-W39",3.88806537504209,"Weekly new hospital admissions per 100k","BE",11274,11522440,NA,NA
"30","Belgium","2020-W40",4.69518608905753,"Weekly new hospital admissions per 100k","BE",18895,11522440,NA,NA
"31","Belgium","2020-W41",7.63727127240411,"Weekly new hospital admissions per 100k","BE",38852,11522440,NA,NA
"32","Belgium","2020-W42",15.3613297183583,"Weekly new hospital admissions per 100k","BE",72232,11522440,NA,NA
"33","Belgium","2020-W43",28.5443013806104,"Weekly new hospital admissions per 100k","BE",105383,11522440,NA,NA
"34","Belgium","2020-W44",39.8613488115364,"Weekly new hospital admissions per 100k","BE",99583,11522440,NA,NA
"35","Belgium","2020-W45",36.2943959786295,"Weekly new hospital admissions per 100k","BE",54006,11522440,NA,NA
"36","Belgium","2020-W46",28.1450803822801,"Weekly new hospital admissions per 100k","BE",33967,11522440,NA,NA
"37","Belgium","2020-W47",18.494346683515,"Weekly new hospital admissions per 100k","BE",22312,11522440,NA,NA
"38","Belgium","2020-W48",13.9206626374275,"Weekly new hospital admissions per 100k","BE",16261,11522440,NA,NA
"39","Belgium","2020-W49",11.4819430606712,"Weekly new hospital admissions per 100k","BE",15289,11522440,NA,NA
"40","Belgium","2020-W50",11.2562964094411,"Weekly new hospital admissions per 100k","BE",16840,11522440,NA,NA
"41","Belgium","2020-W51",10.8917902805309,"Weekly new hospital admissions per 100k","BE",17714,11522440,NA,NA
"42","Belgium","2020-W52",9.74619958967024,"Weekly new hospital admissions per 100k","BE",12607,11522440,NA,NA
"43","Belgium","2020-W53",8.84361298474976,"Weekly new hospital admissions per 100k","BE",11436,11522440,3327,0
"44","Belgium","2021-W01",8.01045611866931,"Weekly new hospital admissions per 100k","BE",14920,11522440,104891,0
"45","Belgium","2021-W02",7.29012257820392,"Weekly new hospital admissions per 100k","BE",14183,11522440,382145,91
"46","Belgium","2021-W03",8.60060889880963,"Weekly new hospital admissions per 100k","BE",15424,11522440,458296,3328
"47","Belgium","2021-W04",7.26408642613891,"Weekly new hospital admissions per 100k","BE",16997,11522440,244567,98301
"48","Belgium","2021-W05",8.05384970544433,"Weekly new hospital admissions per 100k","BE",15377,11522440,163492,366470
"49","Belgium","2021-W06",7.23805027407389,"Weekly new hospital admissions per 100k","BE",12932,11522440,118592,426163
"50","Belgium","2021-W07",7.26408642613891,"Weekly new hospital admissions per 100k","BE",15661,11522440,174700,250127
"51","Belgium","2021-W08",9.1039745053999,"Weekly new hospital admissions per 100k","BE",16954,11522440,315436,135501
"52","Belgium","2021-W09",8.86097041945977,"Weekly new hospital admissions per 100k","BE",16700,11522440,485266,118886
"53","Belgium","2021-W10",9.82430804586529,"Weekly new hospital admissions per 100k","BE",21553,11522440,479647,166005
"54","Belgium","2021-W11",12.0026661019715,"Weekly new hospital admissions per 100k","BE",29610,11522440,731209,194966
"55","Belgium","2021-W12",14.6670323299579,"Weekly new hospital admissions per 100k","BE",34286,11522440,763535,229046
"56","Belgium","2021-W13",15.9948760852736,"Weekly new hospital admissions per 100k","BE",30207,11522440,843196,215722
"57","Belgium","2021-W14",15.4481168919083,"Weekly new hospital admissions per 100k","BE",24434,11522440,1163370,181474
"58","Belgium","2021-W15",14.2591326142727,"Weekly new hospital admissions per 100k","BE",24652,11522440,1204265,280916
"59","Belgium","2021-W16",13.8859477680075,"Weekly new hospital admissions per 100k","BE",24685,11522440,1196449,84764
"60","Belgium","2021-W17",11.7162684292563,"Weekly new hospital admissions per 100k","BE",21017,11522440,1103039,258494
"61","Belgium","2021-W18",9.88505906735032,"Weekly new hospital admissions per 100k","BE",21231,11522440,1496745,715360
"62","Belgium","2021-W19",8.39231968228951,"Weekly new hospital admissions per 100k","BE",14902,11522440,960694,866695
"63","Belgium","2021-W20",7.20333540465388,"Weekly new hospital admissions per 100k","BE",17292,11522440,1380021,930414
"64","Belgium","2021-W21",5.30269630390785,"Weekly new hospital admissions per 100k","BE",12214,11522440,753186,1200017
"65","Belgium","2021-W22",4.33935867750234,"Weekly new hospital admissions per 100k","BE",9116,11522440,1509752,1232462
"66","Belgium","2021-W23",2.99415748747661,"Weekly new hospital admissions per 100k","BE",5274,11522440,1629517,1619511
"67","Belgium","2021-W24",2.0394985784261,"Weekly new hospital admissions per 100k","BE",3023,11522440,2093365,1003313
"68","Belgium","2021-W25",1.39727349415575,"Weekly new hospital admissions per 100k","BE",2455,11522440,1804919,894851
"69","Belgium","2021-W26",0.945980191695509,"Weekly new hospital admissions per 100k","BE",4086,11522440,1235765,890081
"70","Belgium","2021-W27",1.02408864789055,"Weekly new hospital admissions per 100k","BE",7505,11522440,521374,2060344
"71","Belgium","2021-W28",1.46670323299579,"Weekly new hospital admissions per 100k","BE",9526,11522440,458223,1886613
"72","Belgium","2021-W29",1.74442218835594,"Weekly new hospital admissions per 100k","BE",10371,11522440,317368,2034609
"73","Belgium","2021-W30",2.17835805610617,"Weekly new hospital admissions per 100k","BE",11254,11522440,327016,1869598
"74","Belgium","2021-W31",2.62965135856642,"Weekly new hospital admissions per 100k","BE",12186,11522440,343913,1331772
"75","Belgium","2021-W32",3.33262746432179,"Weekly new hospital admissions per 100k","BE",13287,11522440,215798,856973
"76","Belgium","2021-W33",3.56695283290692,"Weekly new hospital admissions per 100k","BE",13729,11522440,142443,490032
"77","Croatia","2020-W16",1.77420090114621,"Weekly new hospital admissions per 100k","HR",271,4058165,NA,NA
"78","Croatia","2020-W17",2.51345127662379,"Weekly new hospital admissions per 100k","HR",159,4058165,NA,NA
"79","Croatia","2020-W18",0.591400300382069,"Weekly new hospital admissions per 100k","HR",66,4058165,NA,NA
"80","Croatia","2020-W19",0.985667167303449,"Weekly new hospital admissions per 100k","HR",91,4058165,NA,NA
"81","Croatia","2020-W20",0.369625187738793,"Weekly new hospital admissions per 100k","HR",39,4058165,NA,NA
"82","Croatia","2020-W21",0.369625187738793,"Weekly new hospital admissions per 100k","HR",18,4058165,NA,NA
"83","Croatia","2020-W22",0.0246416791825862,"Weekly new hospital admissions per 100k","HR",2,4058165,NA,NA
"84","Croatia","2020-W23",0,"Weekly new hospital admissions per 100k","HR",1,4058165,NA,NA
"85","Croatia","2020-W24",0.0739250375477587,"Weekly new hospital admissions per 100k","HR",5,4058165,NA,NA
"86","Croatia","2020-W25",0.147850075095517,"Weekly new hospital admissions per 100k","HR",65,4058165,NA,NA
"87","Croatia","2020-W26",1.40457571340741,"Weekly new hospital admissions per 100k","HR",374,4058165,NA,NA
"88","Croatia","2020-W27",1.65099250523328,"Weekly new hospital admissions per 100k","HR",460,4058165,NA,NA
"89","Croatia","2020-W28",2.34095952234569,"Weekly new hospital admissions per 100k","HR",571,4058165,NA,NA
"90","Croatia","2020-W29",2.46416791825862,"Weekly new hospital admissions per 100k","HR",632,4058165,NA,NA
"91","Croatia","2020-W30",2.02061769297207,"Weekly new hospital admissions per 100k","HR",503,4058165,NA,NA
"92","Croatia","2020-W31",1.87276761787655,"Weekly new hospital admissions per 100k","HR",403,4058165,NA,NA
"93","Croatia","2020-W32",1.57706746768552,"Weekly new hospital admissions per 100k","HR",344,4058165,NA,NA
"94","Croatia","2020-W33",1.72491754278104,"Weekly new hospital admissions per 100k","HR",967,4058165,NA,NA
"95","Croatia","2020-W34",2.41488455989345,"Weekly new hospital admissions per 100k","HR",1604,4058165,NA,NA
"96","Croatia","2020-W35",4.6572773655088,"Weekly new hospital admissions per 100k","HR",1948,4058165,NA,NA
"97","Croatia","2020-W36",5.76615292872518,"Weekly new hospital admissions per 100k","HR",1841,4058165,NA,NA
"98","Croatia","2020-W37",5.39652774098638,"Weekly new hospital admissions per 100k","HR",1569,4058165,NA,NA
"99","Croatia","2020-W38",4.21372714022224,"Weekly new hospital admissions per 100k","HR",1389,4058165,NA,NA
"100","Croatia","2020-W39",5.05154423243017,"Weekly new hospital admissions per 100k","HR",1275,4058165,NA,NA
"101","Croatia","2020-W40",5.71686957036,"Weekly new hospital admissions per 100k","HR",1462,4058165,NA,NA
"102","Croatia","2020-W41",8.35352924289673,"Weekly new hospital admissions per 100k","HR",2781,4058165,NA,NA
"103","Croatia","2020-W42",12.8875982124926,"Weekly new hospital admissions per 100k","HR",5140,4058165,NA,NA
"104","Croatia","2020-W43",20.2308186089033,"Weekly new hospital admissions per 100k","HR",10800,4058165,NA,NA
"105","Croatia","2020-W44",26.7115802339235,"Weekly new hospital admissions per 100k","HR",15115,4058165,NA,NA
"106","Croatia","2020-W45",32.0341829373621,"Weekly new hospital admissions per 100k","HR",15752,4058165,NA,NA
"107","Croatia","2020-W46",37.3321439616181,"Weekly new hospital admissions per 100k","HR",16959,4058165,NA,NA
"108","Croatia","2020-W47",39.5991784464161,"Weekly new hospital admissions per 100k","HR",19512,4058165,NA,NA
"109","Croatia","2020-W48",44.428947566203,"Weekly new hospital admissions per 100k","HR",22894,4058165,NA,NA
"110","Croatia","2020-W49",54.014560768229,"Weekly new hospital admissions per 100k","HR",23741,4058165,NA,NA
"111","Croatia","2020-W50",57.5136792121562,"Weekly new hospital admissions per 100k","HR",25533,4058165,NA,NA
"112","Croatia","2020-W51",53.3985187886643,"Weekly new hospital admissions per 100k","HR",19842,4058165,NA,NA
"113","Croatia","2020-W52",41.5212294226578,"Weekly new hospital admissions per 100k","HR",9518,4058165,4396,0
"114","Croatia","2020-W53",37.4553523575311,"Weekly new hospital admissions per 100k","HR",7712,4058165,23887,2
"115","Croatia","2021-W01",29.6439400566512,"Weekly new hospital admissions per 100k","HR",7265,4058165,45846,13
"116","Croatia","2021-W02",23.9517121654738,"Weekly new hospital admissions per 100k","HR",4905,4058165,42847,719
"117","Croatia","2021-W03",20.2061769297207,"Weekly new hospital admissions per 100k","HR",3926,4058165,29188,25123
"118","Croatia","2021-W04",17.6188006155491,"Weekly new hospital admissions per 100k","HR",3466,4058165,3657,36221
"119","Croatia","2021-W05",15.9185247519507,"Weekly new hospital admissions per 100k","HR",2953,4058165,5213,36040
"120","Croatia","2021-W06",11.5076641782678,"Weekly new hospital admissions per 100k","HR",2252,4058165,28880,35268
"121","Croatia","2021-W07",11.4830224990852,"Weekly new hospital admissions per 100k","HR",2292,4058165,75119,11233
"122","Croatia","2021-W08",11.43373914072,"Weekly new hospital admissions per 100k","HR",3047,4058165,121611,4488
